mesh_ui,canonical,synonym
D005638,Fruit,plant capsule
D005654,Fundus Oculi,fundus oculi
D005704,Gallbladder,gallbladder
D005724,Ganglia,ganglia
D005725,"Ganglia, Autonomic","ganglia, autonomic"
D005726,"Ganglia, Parasympathetic","ganglia, parasympathetic"
D005726,"Ganglia, Parasympathetic",otic ganglia
D005726,"Ganglia, Parasympathetic",pterygopalatine ganglia
D005726,"Ganglia, Parasympathetic",ciliary ganglion
D005726,"Ganglia, Parasympathetic",submandibular ganglia
D005727,"Ganglia, Spinal","ganglia, spinal"
D005728,"Ganglia, Sympathetic",celiac ganglia
D005728,"Ganglia, Sympathetic","ganglia, sympathetic"
D005744,Gastric Acid,gastric acid
D005748,Gastric Fundus,gastric fundus
D005750,Gastric Juice,gastric juice
D005753,Gastric Mucosa,gastric glands
D005753,Gastric Mucosa,pyloric glands
D005753,Gastric Mucosa,cardiac glands
D005753,Gastric Mucosa,gastric mucosa
D005766,Gastrointestinal Contents,stomach contents
D005766,Gastrointestinal Contents,intestinal contents
D005766,Gastrointestinal Contents,gastrointestinal contents
D005775,Gastrula,blastopore
D005775,Gastrula,primitive gut
D005775,Gastrula,gastrula
D005829,Geniculate Bodies,lateral geniculate body
D005829,Geniculate Bodies,geniculate bodies
D005829,Geniculate Bodies,medial geniculate body
D005830,Geniculate Ganglion,external petrosal nerve
D005830,Geniculate Ganglion,greater superficial petrosal nerve
D005830,Geniculate Ganglion,vidian nerve
D005830,Geniculate Ganglion,geniculate ganglion
D005830,Geniculate Ganglion,lesser petrosal nerve
D005835,Genitalia,genitalia
D005835,Genitalia,accessory sex organs
D005836,"Genitalia, Female","genitalia, female"
D005836,"Genitalia, Female","accessory sex organs, female"
D005836,"Genitalia, Female","reproductive system, female"
D005837,"Genitalia, Male","genitalia, male"
D005837,"Genitalia, Male","accessory sex organs, male"
D005837,"Genitalia, Male","reproductive system, male"
D005854,Germ Cells,gametes
D005854,Germ Cells,germ line
D005854,Germ Cells,germ cells
D005855,Germ Layers,germ layers
D005855,Germ Layers,epiblast
D005855,Germ Layers,hypoblast
D005880,Gills,gills
D005881,Gingiva,interdental papilla
D005881,Gingiva,gingiva
D005883,Gingival Crevicular Fluid,gingival crevicular fluid
D005895,"Gizzard, Avian","gizzard, avian"
D005917,Globus Pallidus,globus pallidus
D005917,Globus Pallidus,paleostriatum
D005920,Glomerular Mesangium,glomerular mesangium
D005920,Glomerular Mesangium,mesangial extracellular matrix
D005924,Glomus Jugulare,glomus jugulare
D005930,Glossopharyngeal Nerve,glossopharyngeal nerve
D005931,Glottis,rima glottidis
D005931,Glottis,glottis
D006056,Golgi Apparatus,golgi apparatus
D006057,Golgi-Mazzoni Corpuscles,golgi-mazzoni corpuscles
D006066,Gonads,gonads
D006080,Ovarian Follicle,ovarian follicle
D006080,Ovarian Follicle,atretic follicle
D006080,Ovarian Follicle,graafian follicle
D006097,Granulation Tissue,granulation tissue
D006098,Granulocytes,granulocytes
D006107,Granulosa Cells,granulosa cells
D006119,Groin,groin
D006132,Growth Plate,growth plate
D006179,Gyrus Cinguli,brodmann area 24
D006179,Gyrus Cinguli,brodmann area 32
D006179,Gyrus Cinguli,gyrus cinguli anterior
D006179,Gyrus Cinguli,gyrus cinguli
D006179,Gyrus Cinguli,brodmann area 29
D006179,Gyrus Cinguli,posterior cingulate cortex
D006179,Gyrus Cinguli,brodmann area 23
D006179,Gyrus Cinguli,retrosplenial cortex
D006179,Gyrus Cinguli,brodmann area 26
D006179,Gyrus Cinguli,cingulate cortex
D006179,Gyrus Cinguli,brodmann area 33
